Participant ID,Time,Requested Force,Attempt,Tapped Force
3629,450564284.2,0.55,2,0.349984
3629,450564291.9,0.05,2,0.058147
3629,450564298.5,0.7,2,0.185938
3629,450564305.7,1,2,1.14537
3894,450613340.7,0.7,2,2.84559
3894,450613365.6,0.95,2,0.680923
3894,450613376.3,0.4,2,0.306685
3894,450613389.8,0.65,2,1.03227
3894,450613400.4,0.2,2,0.180683
3894,450613411.3,0.35,2,2.05567
3894,450613423.5,0.9,2,0.971155
3894,450613433.3,0.2,2,0.211959
3894,450613442.7,0.15,2,0.140937
3894,450613454.1,0.9,2,0.604525
5209,450618540.7,0.35,2,0.288794
5209,450618556.7,0.65,2,0.662133
5209,450618568.3,0.4,2,0.471034
5209,450618579.5,0.5,2,0.46636
5209,450618590.5,0.15,2,0.299663
5209,450618601.5,0.3,2,0.320891
5209,450618613,0.7,2,0.867848
5209,450618624.1,0.2,2,0.190054
5209,450618634.7,0.4,2,0.30127
5209,450618645.3,0.05,2,0.0528505
5996,450616009.1,0.4,2,0.0986158
5996,450616020.3,0.1,2,0.263988
5996,450616030.2,0.85,2,0.281713
5996,450616041.6,0.15,2,0.0647671
5996,450616051,0.8,2,0.199849
5996,450616062.7,1,2,0.461015
5996,450616075.3,1,2,0.282963
5996,450616086.5,0.4,2,0.0949903
5996,450616097.3,0.75,2,0.255734
5996,450616108.1,0.35,2,0.168045
7004,450697552.9,0.45,2,0.402291
7004,450697562.8,0.4,2,0.699354
7004,450697571.8,0.1,2,0.0584277
7004,450697580.2,0.65,2,0.968217
7004,450697588.6,0.75,2,0.54934
7004,450697597.5,0.95,2,0.497636
7004,450697605.6,0.7,2,0.514886
7004,450697614.5,0.05,2,0.080668
7004,450697622.9,1,2,0.42049
7004,450697630.7,0.55,2,0.515747
7200,450568592.8,0.4,2,0.489295
7200,450568610.7,0.55,2,0.380118
7200,450568621.7,0.2,2,0.229875
7200,450568633.2,0.8,2,0.430035
7200,450568643.5,0.8,2,0.498587
7200,450568653.9,0.75,2,0.602741
7200,450568663.9,0.6,2,0.651966
7200,450568673.2,0.9,2,0.533312
7200,450568683.2,0.55,2,0.64178
7200,450568692.5,0.65,2,1.26695
7366,450614604,0.7,2,0.502028
7366,450614620,0.75,2,0.707219
7366,450614632.8,0.5,2,0.299643
7366,450614644.3,0.15,2,0.346311
7366,450614655.4,0.2,2,0.135384
7366,450614667.2,0.6,2,0.60006
7366,450614680,0.95,2,0.160929
7366,450614691.8,0.5,2,0.374125
7366,450614709.7,0.4,2,0.372098
7366,450614722.2,0.45,2,0.282772
9098,450615220.6,0.95,2,0.917436
9098,450615231.5,0.15,2,0.19184
9098,450615241.6,0.25,2,0.323201
9098,450615251.7,0.55,2,0.555474
9098,450615263.7,0.6,2,0.644097
9098,450615276.7,0.6,2,0.484744
9098,450615287.5,0.05,2,0.0339622
9098,450615296.6,0.45,2,0.253965
9098,450615305.5,0.8,2,0.601873
9098,450615316,0.05,2,0.0856314
9098,450615326,0.85,2,0.534788
9190,450701050.4,0.45,2,0.45137
9190,450701058.7,0.7,2,0.741025
9190,450701066.6,0.2,2,0.305606
9190,450701075.5,0.6,2,0.726631
9190,450701084.1,0.1,2,0.561226
9190,450701093.3,1,2,0.719571
9190,450701105.3,1,2,0.817776
9190,450701118.1,0.6,2,0.652746
9190,450701216.4,1,2,0.742175
9190,450701224.1,0.65,2,0.843698
9230,450698080.4,0.4,2,0.424084
9230,450698100.2,0.9,2,0.608593
9230,450698114.8,0.9,2,0.818132
9230,450698126,1,2,1.03231
9230,450698136.4,0.35,2,0.72696
9230,450698148.3,1,2,2.11528
9230,450698158.3,0.4,2,0.593396
9230,450698170.6,1,2,0.582017
9230,450698188.7,0.95,2,0.670054
9230,450698198.4,0.55,2,0.326045
9630,450617916.1,0.15,2,0.2331
9630,450617929.3,0.4,2,0.300723
9630,450617953.9,0.9,2,0.580685
9630,450617968.7,0.15,2,0.233064
9630,450617980.3,0.2,2,0.202407
9630,450617993.5,0.2,2,0.198121
9630,450618004.4,0.3,2,0.365825
9630,450618015.2,0.15,2,0.235099
9630,450618026.1,0.45,2,0.258539
9630,450618037.1,0.35,2,0.22145
1171,450613978.7,0.45,3,0.309269
1171,450613994.5,0.45,3,0.564032
1171,450614007.4,1,3,0.838013
1171,450614024.4,0.2,3,0.276868
1171,450614036.9,0.5,3,0.396109
1171,450614048.5,0.7,3,0.713371
1171,450614063.2,0.2,3,2.16833
1171,450614076,0.85,3,0.554188
1171,450614088.9,0.1,3,0.174522
1171,450614100.9,0.45,3,0.550256
2541,450619128.2,0.4,3,0.304499
2541,450619147.9,0.4,3,0.818533
2541,450619163.8,0.1,3,0.0466156
2541,450619182.7,0.9,3,0.419271
2541,450619199.2,0.35,3,0.120399
2541,450619223.3,0.75,3,0.271632
2541,450619237.3,0.95,3,0.642425
2541,450619250.9,0.7,3,0.673751
2541,450619264.2,0.15,3,0.241708
2541,450619276.8,0.2,3,0.255266
3629,450564236.2,0.5,3,0.204373
3629,450564244.4,0.75,3,0.516509
3629,450564252.1,0.95,3,0.853575
3629,450564260.5,0.1,3,0.0796115
3629,450564270.6,0.2,3,0.347242
3629,450564278.6,0.3,3,0.202383
3629,450564286.3,0.55,3,0.492191
3629,450564293.5,0.05,3,0.0526831
3629,450564300.2,0.7,3,0.52338
3629,450564307.5,1,3,0.800531
3894,450613344.5,0.7,3,0.310545
3894,450613369,0.95,3,1.39929
3894,450613379.4,0.4,3,0.475355
3894,450613392.7,0.65,3,0.586449
3894,450613403.2,0.2,3,0.225351
3894,450613416,0.35,3,0.158316
3894,450613426.3,0.9,3,0.386689
3894,450613436.2,0.2,3,0.231822
3894,450613445.4,0.15,3,0.158211
3894,450613457.2,0.9,3,1.41021
5209,450618545.6,0.35,3,0.338647
5209,450618560,0.65,3,0.401161
5209,450618571.6,0.4,3,0.376868
5209,450618582.7,0.5,3,0.640588
5209,450618593.7,0.15,3,0.180449
5209,450618604.7,0.3,3,0.250562
5209,450618616.1,0.7,3,0.645611
5209,450618627.3,0.2,3,0.210741
5209,450618637.7,0.4,3,0.422182
5209,450618648.4,0.05,3,0.0592458
5996,450616011.1,0.4,3,0.2577
5996,450616022.7,0.1,3,0.0892315
5996,450616032,0.85,3,0.249514
5996,450616043,0.15,3,0.115406
5996,450616053.9,0.8,3,0.201846
5996,450616065.9,1,3,0.250293
5996,450616077.6,1,3,0.152557
5996,450616089.2,0.4,3,0.211631
5996,450616099.3,0.75,3,0.42917
5996,450616110.2,0.35,3,0.435514
7004,450697555.6,0.45,3,0.355385
7004,450697565.1,0.4,3,0.304246
7004,450697573.9,0.1,3,0.056387
7004,450697582.6,0.65,3,0.479967
7004,450697590.8,0.75,3,2.7723
7004,450697599.3,0.95,3,0.540007
7004,450697607.8,0.7,3,0.622945
7004,450697616.7,0.05,3,0.0909764
7004,450697624.8,1,3,0.471973
7004,450697632.9,0.55,3,0.461618
7200,450568595.5,0.4,3,0.62683
7200,450568613,0.55,3,0.533166
7200,450568624.6,0.2,3,0.214789
7200,450568635.9,0.8,3,0.816289
7200,450568645.9,0.8,3,0.670094
7200,450568656.5,0.75,3,0.829738
7200,450568666.3,0.6,3,0.499989
7200,450568675.2,0.9,3,0.45951
7200,450568685.5,0.55,3,0.850032
7200,450568695.4,0.65,3,0.477278
7366,450614607.4,0.7,3,1.14822
7366,450614623.2,0.75,3,0.853445
7366,450614636,0.5,3,1.06202
7366,450614647.6,0.15,3,0.224737
7366,450614658.2,0.2,3,0.0983185
7366,450614670.7,0.6,3,0.399331
7366,450614683.1,0.95,3,0.42069
7366,450614694.4,0.5,3,0.2557
7366,450614713.1,0.4,3,0.458841
7366,450614724.9,0.45,3,0.445297
9098,450615223.4,0.95,3,0.421147
9098,450615235.2,0.15,3,0.0531815
9098,450615244.5,0.25,3,0.308294
9098,450615256.5,0.55,3,0.605744
9098,450615279.6,0.6,3,0.554158
9098,450615290,0.05,3,0.115062
9098,450615299.1,0.45,3,0.277795
9098,450615307.9,0.8,3,0.909057
9098,450615318.9,0.05,3,0.0917151
9098,450615328.9,0.85,3,0.559766
9190,450701052.9,0.45,3,0.352492
9190,450701061.3,0.7,3,0.599072
9190,450701069.2,0.2,3,0.292316
9190,450701077.9,0.6,3,0.604206
9190,450701086.7,0.1,3,0.327022
9190,450701095.8,1,3,0.774959
9190,450701107.9,1,3,0.729151
9190,450701152.5,0.6,3,0.0468638
9190,450701218.5,1,3,1.62643
9190,450701226.3,0.65,3,0.690685
9230,450698085.2,0.4,3,0.314478
9230,450698103.2,0.9,3,0.727939
9230,450698117.9,0.9,3,0.82954
9230,450698129.2,1,3,0.659058
9230,450698139.4,0.35,3,0.42961
9230,450698151.8,1,3,0.654431
9230,450698161.3,0.4,3,0.414852
9230,450698173.8,1,3,0.713836
9230,450698191.3,0.95,3,0.667983
9230,450698201.9,0.55,3,0.534296
9630,450617919.9,0.15,3,0.161298
9630,450617932.7,0.4,3,0.327107
9630,450617957.2,0.9,3,0.579033
9630,450617971.9,0.15,3,0.21571
9630,450617983.4,0.2,3,0.211757
9630,450617996.4,0.2,3,0.253367
9630,450618007.4,0.3,3,0.225433
9630,450618018.3,0.15,3,0.162684
9630,450618029.1,0.45,3,0.417272
9630,450618039.9,0.35,3,0.448557
